epoch,time,train/loss_total,train/acc,train/loss_cls,train/loss_cont,val/loss_total,val/acc,metrics/precision,metrics/recall,metrics/f1,lr/pg0
1,41.8,0.7030,0.8207,,,1.1789,0.2602,0.1301,0.5000,0.2065,0.000100
2,86.6,0.5041,0.8775,,,1.1860,0.2602,0.1301,0.5000,0.2065,0.000099
3,130.8,0.4750,0.8897,,,1.0120,0.2602,0.1301,0.5000,0.2065,0.000098
4,173.1,0.4547,0.8983,,,1.4783,0.2602,0.1301,0.5000,0.2065,0.000096
5,215.0,0.4466,0.9047,,,1.3661,0.2602,0.1301,0.5000,0.2065,0.000093
6,255.8,0.4328,0.9100,,,0.9956,0.2602,0.1301,0.5000,0.2065,0.000091
